conversation_id_str	created_at	favorite_count	full_text	id_str	image_url	in_reply_to_screen_name	lang	location	quote_count	reply_count	retweet_count	tweet_url	user_id_str	username	keyword	1.86824E+18	Sun Dec 15 21:03:33 +0000 2024	202	@KemenperinRI Lapor ke prabowo. https://t.co/18eTtRJdHO	1.8684E+18	https://pbs.twimg.com/media/Ge3lS4bagAEJVmm.jpg	KemenperinRI	in	Unnamed: 8	1	3	28	https://x.com/undefined/status/1868401535732097268	1.21051E+18	Unnamed: 14
1.87E+18	Wed Dec 11 23:20:10 +0000 2024	72	TAJAM . . . ...!!! Pak Mahfud @mohmahfudmdb Blak - blakan Pasca PILKADA Serentak 2024. Singgung JOKOWI &amp; MEGAWATI Soal PILKADA : HABIS DIBABAT SEMUA KONSISTEN TERHADAP KONSTITUSI CIRI DEMOKRASI INDONESIA SEHAT #SehatIndonesiaku ???? MERDEKA https://t.co/kQ3qoFZcyt	1.87E+18	https://pbs.twimg.com/ext_tw_video_thumb/1866986320276623363/pu/img/MuQIDp2cClkcwnZC.jpg		in		0	1	17	https://x.com/undefined/status/1866986362899140663	1.32E+18		mahfud															
1.03E+18	Wed Aug 15 03:26:58 +0000 2018	107	Pak Prof Mahfud adalah kita. Kita semua pernah merasa sesakit itu.	1.03E+18			in		12	24	179	https://x.com/undefined/status/1029570116231413761	26970305		mahfud															
1.87E+18	Sun Dec 15 11:26:51 +0000 2024	978	Saat acara pelantikan Pengurus (15/12/24) Ketum KAGAMA Pak Basuki Hadimoeljono menyampaikan adagium kearifan bg alumni UGM yaitu: Guyub Rukun dan Migunani. Kompak (bersatu) saling menolong (penuh persaudaraan) dan memberi manfaat (berguna) bg pembanhunan bangsa dan negara. https://t.co/hKolTaCOzS	1.87E+18	https://pbs.twimg.com/media/Ge1hSGmagAAYFek.jpg		in		12	146	110	https://x.com/undefined/status/1868256402642526395	282006208		mahfud															
1.87E+18	Thu Dec 12 05:47:29 +0000 2024	892	Mahfud MD: Pilkada Jakarta Bukti Minimnya Pengaruh Jokowi Usai Lengser dari Presiden https://t.co/IyNoziFVEv	1.87E+18			in		10	26	270	https://x.com/undefined/status/1867083835940409534	3319260420		mahfud															
1.86E+18	Thu Dec 05 09:08:32 +0000 2024	0	?? Mahfud MD Blak-bakan Bongkar Sosok Alvin Lim soal Ferdy Sambo di Penjara! https://t.co/OgveDpB7as	1.86E+18	https://pbs.twimg.com/ext_tw_video_thumb/1864597184035147776/pu/img/-7L2QyBVF0P7GtJo.jpg		in		0	0	3	https://x.com/undefined/status/1864597717206618290	194590819		mahfud															
1.87E+18	Wed Dec 11 03:00:42 +0000 2024	31	"???? ????? ?????? ?? ???? ?????? ?? ???? ????. Dasar kebahagiaan paling sederhana adalah kita menjadi orang yang tidak menyakiti siapapun. - Najib mahfud https://t.co/hWkeuzxJga"	1.87E+18	https://pbs.twimg.com/media/GefHDLhaEAId1Kh.jpg		in		0	0	8	https://x.com/undefined/status/1866679472331821354	1.12E+18		mahfud															
1.87E+18	Wed Dec 11 15:35:03 +0000 2024	13	Jarang nonton tv begitu buka kok yo pas nemu Rhoma tampil live. Dan ia pas main Smoke on the Water. Rupanya itu utk bukak Nafsu Serakah. Ia ngulang pola yg dipakainya di Synchronize ketika ia pake Immigrant Song utk buka lagu Perjuangan dan Doa. Rupanya Pak Haji ultah ke-78	1.87E+18			in		0	0	2	https://x.com/undefined/status/1866869312608407718	1.67E+18		mahfud															
1.86E+18	Wed Dec 04 08:46:46 +0000 2024	17	Kepala Pusat Jasmani dan Peraturan Militer Dasar TNI (Kapusjaspermildas TNI) Brigjen TNI Mahfud SE https://t.co/HuipFuslPZ membuka pertandingan Futsal Antar Staf Umum Mabes TNI Tahun 2024 bertempat di Lapangan bola Pusjaspermildas Mabes TNI Cilangkap Selasa (3/12/2024). https://t.co/MHiUDrOHoD	1.86E+18	https://pbs.twimg.com/media/Gd8S-eia0AAmj3H.jpg		in		0	1	3	https://x.com/undefined/status/1864229848950165920	594386753		mahfud															
1.87E+18	Tue Dec 10 09:37:06 +0000 2024	15	Takdir-takdir yang tidak kamu sukai dan yang kamu tangisi dibalik semua itu ada banyak kebaikan yang tidak kamu ketahui maka tenanglah. |najib mahfud https://t.co/NgUbfMVojP	1.87E+18	https://pbs.twimg.com/media/GebYOS_bcAEjnsH.jpg		in		0	0	4	https://x.com/undefined/status/1866416844648939763	1.47E+18		mahfud															
1.86E+18	Sat Nov 30 05:45:52 +0000 2024	2	Yg minat di sev ea 20k aja 085730593484 https://t.co/z0KeVktGwK	1.86E+18	https://pbs.twimg.com/media/GdnDRktWEAATDbS.jpg		in		0	0	0	https://x.com/undefined/status/1862734771396518112	1.67E+18		mahfud															
