conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,aspek
1745816773008802065,Fri Jan 12 14:35:29 +0000 2024,18799,Kami sangat mengapresiasi undangan dari Kadin untuk berdialog mengenai perekonomian Indonesia ke depan. Dalam kesempatan tersebut kami sampaikan visi untuk membangun ekonomi yang berkualitas diiringi dengan pemerataan yang berkelanjutan. Agar kelak pembangunan Indonesia ini https://t.co/8iYppwQbSZ,1745816773008802065,https://pbs.twimg.com/ext_tw_video_thumb/1745777922324213760/pu/img/qnhQQ7MA-0ibCtNz.jpg,,in,,72,365,4494,https://x.com/undefined/status/1745816773008802065,110312278,,/content/tweets-data/+kontinuitas
1728745629604864308,Sun Nov 26 12:00:51 +0000 2023,684,Kalau mau gemoy-gemoyan imut-imutan; gampang. Dengan menggunakan teknologi semua beres. Tapi bukan itu yg dicari dari seorang PEMIMPIN bagi 280 jutaan rakyat Indonesia. Bukan itu! Gagasan visi program strategis untuk bangsa Indonesia demi mencapai Indonesia Emas 2045 https://t.co/GkOlk3qMES,1728745629604864308,https://pbs.twimg.com/media/F_28sVUagAAJLWf.jpg,,in,,7,152,87,https://x.com/undefined/status/1728745629604864308,84221579,,/content/tweets-data/+kontinuitas
1732654330698969472,Thu Dec 07 06:52:38 +0000 2023,447,IKN Nusantara adalah Kota Masa Depan milik bangsa Indonesia. Komitmen Ganjar Tuntaskan IKN adalah komitmen dalam pemerataan pembangunan dengan mewujudkan pembangunan yang adil dan merata bagi seluruh rakyat Indonesia. https://t.co/gqzpSVCfiL,1732654330698969472,https://pbs.twimg.com/amplify_video_thumb/1732654253599236096/img/EtTXujnnRPixL3wm.jpg,,in,,2,76,93,https://x.com/undefined/status/1732654330698969472,4200694752,,/content/tweets-data/+kontinuitas
1753278629566697763,Fri Feb 02 04:46:14 +0000 2024,3139,Ini disampaikan Menteri Keuangan Sri Mulyani pada Kamis (1/2/2024) saat meresmikan Rumah Susun Jayapura Papua. Dalam kesempatan itu Sri Mulyani menyampaikan perlunya ia bersama Kementerian Keuangan dalam menyampaikan arti kehadiran negara. Karena negara bisa hadir karena ada https://t.co/iU2toTHbHz,1753278629566697763,https://pbs.twimg.com/amplify_video_thumb/1753278485370707968/img/YshcAbm41dh43Z3a.jpg,,in,,87,55,1482,https://x.com/undefined/status/1753278629566697763,1158355819512991747,,/content/tweets-data/+kontinuitas
1763093881628061974,Thu Feb 29 06:48:32 +0000 2024,17369,Yang krusial buat negara: - Pendidikan - Kesehatan - Pangan. Yang pendapatannya paling murah: - Guru dosen dan tendik lainnya - Dokter perawat bidan dan nakes lainnya - Petani peternak dan tenaga pangan lainnya.,1763093881628061974,,,in,,276,169,6937,https://x.com/undefined/status/1763093881628061974,170542374,,/content/tweets-data/+kontinuitas
1767024069978046662,Mon Mar 11 03:05:42 +0000 2024,29929,Jika warganya terdidik yang diminta: 1) Pendidikan dasar yang berkualitas 2) Layanan kesehatan yang prima 3) Upah tenaga kerja yang layak 4) Infrastruktur yang memadai 5) Transportasi umum yang nyaman 6) Diplomasi ke LN sampai paspor bebas visa ke mana-mana 7) Riset dan,1767024069978046662,,,in,,207,267,10429,https://x.com/undefined/status/1767024069978046662,170542374,,/content/tweets-data/+kontinuitas
1726854242223481312,Tue Nov 21 06:45:09 +0000 2023,1179,Ditempa berbagai ujian lewat sikon perpolitikan negeri yang hari ini terus berkembang tidak membuat @ganjarpranowo lengah. Mendapat beberapa kecurangan membuatnya awas dan terus mengobarkan semangat untuk menang. Ganjar tidak punya pasukan khusus Ganjar tidak punya kemampuan https://t.co/dQzC0ADJPT,1726854242223481312,https://pbs.twimg.com/amplify_video_thumb/1726854171125813248/img/MlaDpua6TXfu6ui3.jpg,,in,,9,2012,797,https://x.com/undefined/status/1726854242223481312,48359478,,/content/tweets-data/+kontinuitas
1701480134283591936,Tue Sep 12 06:17:30 +0000 2023,1868,#TuankuRakyat 𝐌𝐚𝐧𝐢𝐟𝐞𝐬𝐭𝐨 𝐆𝐚𝐧𝐣𝐚𝐫 Berkaca dari lika-liku hidup seorang Jokowi wong cilik yang bisa menjadi Presiden Indonesia. Perjalanan panjang yang penuh rintangan mampu beliau tempuh meskipun harus terseok-seok demi menunaikan bakti kepada bangsa dan negara. https://t.co/XBqPYdmdSJ,1701480134283591936,https://pbs.twimg.com/media/F5zfKQnaQAA9YMy.jpg,,in,,26,3624,1284,https://x.com/undefined/status/1701480134283591936,48359478,,/content/tweets-data/+kontinuitas
1704314986221416624,Wed Sep 20 02:02:12 +0000 2023,207,Dari Bicara Gagasan di Mata Najwa semalem sy lihat ada beberapa poin yang berupaya diangkat oleh Najwa Shihab. (Semoga sy tidak salah) Sekarang tinggal kita menilai sendiri dengan jujur bagaimana jawaban para bacapres itu. Karena tidak semua point terbahasakan oleh para https://t.co/2yjPLkdgbs,1704314986221416624,https://pbs.twimg.com/media/F6bxOalbgAAMzek.jpg,,in,,1,40,40,https://x.com/undefined/status/1704314986221416624,1267940786991099905,,/content/tweets-data/+kontinuitas
1723671639165120860,Sun Nov 12 11:58:37 +0000 2023,1120,Rembang Melawan Ketika Guru Bangsa Bersuara Lantang Melihat Negeri Ini Diacak-acak Oleh : Angwar Sanusi Hari Minggu atau pagi tadi sejumlah guru bangsa berkumpul di kediaman Gus Mus di Rembang. Ada Lukman Hakim mantan menteri agama Omi Komariah istri mendiang Nurkholis https://t.co/Z27xZZpvI4,1723671639165120860,https://pbs.twimg.com/media/F-u2N9BbQAA2n95.jpg,,in,,12,1579,722,https://x.com/undefined/status/1723671639165120860,48359478,,/content/tweets-data/+kontinuitas
